epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4916,0.32448,1.46576,1.04437,0.57669,0.805,0.56864,0.21553,1.77653,2.86875,1.94782,0.00048,0.00048,0.00048
2,134.5,0.23,0.63955,0.94659,0.219,0.445,0.16218,0.07541,2.08286,5.31376,3.25125,0.00093149,0.00093149,0.00093149
3,215.286,0.21125,0.53464,0.93208,0.86718,0.91403,0.94131,0.64851,0.78163,1.57224,1.29755,0.00133348,0.00133348,0.00133348
4,305.683,0.20329,0.47876,0.92428,0.7454,0.87835,0.77333,0.63292,0.67413,1.6034,1.0357,0.00168597,0.00168597,0.00168597
5,397.977,0.22393,0.44961,0.9301,0.8264,0.85,0.87766,0.76906,0.51014,1.18705,0.9347,0.001604,0.001604,0.001604
6,476.786,0.19328,0.39244,0.91228,0.89082,0.945,0.90803,0.85617,0.30579,0.90294,0.7633,0.001505,0.001505,0.001505
7,554.05,0.17728,0.35243,0.9202,0.89605,0.945,0.94341,0.86645,0.42506,0.93445,0.82009,0.001406,0.001406,0.001406
8,631.045,0.17136,0.32038,0.90464,0.84225,0.93432,0.92064,0.79512,0.47281,1.10961,0.92953,0.001307,0.001307,0.001307
9,706.831,0.1516,0.29222,0.90506,0.90784,0.93585,0.94001,0.29651,1.08125,2.79249,1.42355,0.001208,0.001208,0.001208
10,796.894,0.15507,0.30619,0.90501,0.96071,0.86,0.88272,0.85924,0.29742,0.46995,0.67143,0.001109,0.001109,0.001109
11,880.912,0.14421,0.45947,0.89392,0.85443,0.995,0.99434,0.98223,0.26278,0.97426,0.61174,0.00101,0.00101,0.00101
12,965.287,0.12139,0.24853,0.86544,0.99952,0.92,0.91578,0.90339,0.20317,0.32065,0.52049,0.000911,0.000911,0.000911
13,1039.11,0.10578,0.19821,0.86485,0.98995,1,0.99495,0.98771,0.19144,0.30004,0.49606,0.000812,0.000812,0.000812
14,1108.41,0.09249,0.17023,0.86659,0.99943,1,0.995,0.99397,0.17645,0.30433,0.52246,0.000713,0.000713,0.000713
15,1183.67,0.08537,0.15815,0.85404,0.99965,1,0.995,0.99106,0.17177,0.25492,0.50262,0.000614,0.000614,0.000614
16,1263.54,0.08035,0.14045,0.8599,0.99966,1,0.995,0.99494,0.17632,0.24899,0.50861,0.000515,0.000515,0.000515
17,1345.77,0.0698,0.12375,0.85028,0.99997,1,0.995,0.99497,0.1395,0.2836,0.47838,0.000416,0.000416,0.000416
18,1424.5,0.05763,0.10918,0.84338,0.9998,1,0.995,0.99497,0.13354,0.24096,0.47052,0.000317,0.000317,0.000317
19,1501.59,0.05928,0.10651,0.84778,0.99957,1,0.995,0.99408,0.14712,0.23572,0.4929,0.000218,0.000218,0.000218
20,1576.71,0.04773,0.09389,0.844,0.99956,1,0.995,0.99407,0.14651,0.24018,0.50365,0.000119,0.000119,0.000119
